a_shape,b_shape,count
"(4, 1024)","(1024, 2048)",2688
"(4, 2048)","(2048, 256)",2688
"(4, 128)","(128, 2048)",2688
"(4, 2048)","(2048, 1)",2688
"(4, 2048)","(2048, 512)",2688
"(4, 2048)","(2048, 3072)",2016
"(4, 2048)","(2048, 16)",2016
"(4, 2048)","(2048, 2560)",672
"(16384, 2048)","(2048, 256)",192
"(16384, 128)","(128, 2048)",192
"(16384, 2048)","(2048, 1)",192
"(16384, 2048)","(2048, 512)",192
"(2048, 2048)","(2048, 256)",192
"(2048, 128)","(128, 2048)",192
"(2048, 2048)","(2048, 1)",192
"(2048, 2048)","(2048, 512)",192
"(5, 1024)","(1024, 2048)",192
"(5, 2048)","(2048, 256)",192
"(5, 128)","(128, 2048)",192
"(5, 2048)","(2048, 1)",192
"(5, 2048)","(2048, 512)",192
"(18, 1024)","(1024, 2048)",192
"(18, 2048)","(2048, 256)",192
"(18, 128)","(128, 2048)",192
"(18, 2048)","(2048, 1)",192
"(18, 2048)","(2048, 512)",192
"(3, 1024)","(1024, 2048)",192
"(3, 2048)","(2048, 256)",192
"(3, 128)","(128, 2048)",192
"(3, 2048)","(2048, 1)",192
"(3, 2048)","(2048, 512)",192
"(5, 2048)","(2048, 3072)",144
"(5, 2048)","(2048, 16)",144
"(18, 2048)","(2048, 3072)",144
"(18, 2048)","(2048, 16)",144
"(3, 2048)","(2048, 3072)",144
"(3, 2048)","(2048, 16)",144
"(4, 2048)","(2048, 37984)",60
"(16384, 2048)","(2048, 2560)",48
"(16384, 1024)","(1024, 2048)",48
"(2048, 2048)","(2048, 2560)",48
"(2048, 1024)","(1024, 2048)",48
"(5, 2048)","(2048, 2560)",48
"(18, 2048)","(2048, 2560)",48
"(3, 2048)","(2048, 2560)",48
"(2048, 2048)","(2048, 37984)",8
"(3, 2048)","(2048, 37984)",4
"(1, 2048)","(2048, 37984)",4
